restaurant name,cost,collections,cuisines,operating timings
Beyond Flavours,800,"Food Hygiene Rated Restaurants in Hyderabad, Corporate Favorites, Great Buffets, Top-Rated, Gold Curated, Live Sports Screenings","Chinese, Continental, Kebab, European, South Indian, North Indian","12noon to 3:30pm, 6:30pm to 11:30pm (Mon-Sun)"
Paradise,800,Hyderabad's Hottest,"Biryani, North Indian, Chinese",11 AM to 11 PM
Flechazo,1300,"Great Buffets, Hyderabad's Hottest","Asian, Mediterranean, North Indian, Desserts","11:30 AM to 4:30 PM, 6:30 PM to 11 PM"
Shah Ghouse Hotel & Restaurant,800,Late Night Restaurants,"Biryani, North Indian, Chinese, Seafood, Beverages",12 Noon to 2 AM
Over The Moon Brew Company,1200,"Best Bars & Pubs, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated, Hyderabad's Hottest","Asian, Continental, North Indian, Chinese, Mediterranean","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)"
The Fisherman's Wharf,1500,"Sunday Brunches, Corporate Favorites, Great Buffets, Hyderabad's Hottest, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated","Seafood, Goan, North Indian, Continental, Asian","12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 11:30PM (Mon, Tue, Wed, Thu, Sun), 12Noon to 3:30PM, 4PM to 6:30PM, 7PM to 12Midnight (Fri-Sat)"
eat.fit,500,Food Hygiene Rated Restaurants in Hyderabad,"Healthy Food, North Indian, Continental, South Indian",7 AM to 10 PM
Shah Ghouse Spl Shawarma,300,,Lebanese,12 Noon to 12 Midnight
Hyper Local,1000,"Great Buffets, Live Sports Screenings, Best Bars & Pubs, Trending This Week","American, Chinese, North Indian, Kebab, South Indian",12 Noon to 12 Midnight
Cream Stone,350,Frozen Delights,"Ice Cream, Desserts","10 AM to 1 AM (Mon-Thu), 10 AM to 1:30 AM (Fri-Sun)"
Sardarji's Chaats & More,400,"Street Food, Veggie Friendly, Pocket Friendly","Street Food, North Indian, Fast Food","12 Noon to 3:30 PM, 7 PM to 10:30 PM"
Barbeque Nation,1600,Barbecue & Grill,"Mediterranean, North Indian, Kebab, BBQ","12 Noon to 3:30 PM, 6:30 PM to 11:30 PM"
Absolute Sizzlers,750,Great Buffets,"Continental, American, Chinese",11:30 AM to 1 AM
The Lal Street - Bar Exchange,1300,"Corporate Favorites, Happy Hours, Live Sports Screenings, Rooftops, Trending This Week","North Indian, Italian, Finger Food",12noon to 12midnight (Mon-Sun)
AB's - Absolute Barbecues,1500,"Barbecue & Grill, Great Buffets, Corporate Favorites, Hyderabad's Hottest","European, Mediterranean, North Indian","12 Noon to 4:30 PM, 6:30 PM to 11:30 PM"
KFC,500,,"Burger, Fast Food",11 AM to 11 PM
NorFest - The Dhaba,550,,North Indian,12 Noon to 10:30 PM
Hotel Zara Hi-Fi,400,,"Chinese, North Indian",11:30 AM to 1 AM
10 Downing Street,1900,Trending This Week,"North Indian, Chinese, Continental",12 Noon to 12 Midnight
Pakwaan Grand,400,Trending This Week,"North Indian, Chinese, Biryani",12 Noon to 11 PM
13 Dhaba,450,Veggie Friendly,North Indian,"12:30 PM to 10 PM (Tue-Sun), Mon Closed"
Jonathan's Kitchen - Holiday Inn Express & Suites,1900,"Great Italian, Sunday Brunches","North Indian, Japanese, Italian, Salad, Sushi","11:30 AM to 3 PM, 7 PM to 11 PM"
B-Dubs,1600,Hyderabad's Hottest,American,"11am to 11:30pm (Mon, Tue, Wed, Thu, Sun), 11am to 12midnight (Fri-Sat)"
Amul,150,,"Ice Cream, Desserts",10 AM to 5 AM
SKYHY,1400,"Live Sports Screenings, Gigs and Events","North Indian, Chinese, Continental","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)"
Tiki Shack,1000,,Continental,"12Noon to 11PM (Mon-Thu),12Noon to 11:30PM (Fri-Sun)"
Mustang Terrace Lounge,1300,"Rooftops, Live Sports Screenings, Best Bars & Pubs","Mexican, Italian, North Indian, Chinese, Salad","12 Noon to 11:30 PM (Mon-Wed), 12 Noon to 1 AM (Fri-Sat), 12 Noon to 12 Midnight (Sun), Thu Closed"
"3B's - Buddies, Bar & Barbecue",1100,"Barbecue & Grill, Live Sports Screenings","North Indian, Mediterranean, European","12 Noon to 4 PM, 6:30 PM to 11:30 PM"
Behrouz Biryani,600,,"Mughlai, Biryani",10 AM to 1 AM
Hunger Maggi Point,200,,Fast Food,4:30 PM to 5:30 AM
Pot Pourri,900,,"Andhra, South Indian, North Indian",
Pista House,1000,Haleem,"Bakery, North Indian, Mughlai, Juices, Chinese",11 AM to 12 Midnight
Marsala Food Company,700,"Mandi, Great Buffets, The ‘Must Visit’ Eateries","Arabian, North Indian, Chinese","12noon to 4pm, 7pm to 12midnight (Mon-Sun)"
Club Rogue,900,,"North Indian, Fast Food",11 AM to 12 Midnight
Mazzo - Marriott Executive Apartments,1700,"Top-Rated, Gold Curated, Fancy and Fun","Italian, North Indian, South Indian, Asian",6am to 12midnight (Mon-Sun)
Green Bawarchi Restaurant,700,,"North Indian, Chinese, Biryani",12 Noon to 11 PM
Banana Leaf Multicuisine Restaurant,700,Great Buffets,"Biryani, South Indian, North Indian, Chinese, Andhra","12:30 PM to 3:30 PM, 7 PM to 10:40 PM"
Kritunga Restaurant,500,,"Andhra, Biryani, Hyderabadi, North Indian","12 Noon to 4 PM, 7 PM to 11 PM"
The Glass Onion,1200,Fancy and Fun,"North Indian, Continental, Italian, Asian","12noon to 11pm (Mon, Tue, Wed, Thu, Sun), 12noon to 12midnight (Fri-Sat)"
Deli 9 Bistro,700,,"Cafe, Continental, Desserts",12 Noon to 10:30 PM
Frio Bistro,1200,,"European, Italian, Continental, Spanish",12noon to 11pm (Mon-Sun)
Karachi Bakery,500,,"Bakery, Fast Food, Desserts",10 AM to 10 PM
Karachi Cafe,600,,"Cafe, Desserts, Fast Food",10 AM to 10 PM
The Foodie Monster Kitchen,500,"Great Breakfasts, Late Night Restaurants, Best shawarmas","American, Wraps, Desserts",7 AM to 1 AM
La La Land - Bar & Kitchen,1000,"Great Buffets, Trending This Week","Finger Food, North Indian, Kebab, Chinese",12 Noon to 11:30 PM
Owm Nom Nom,900,,"Chinese, Biryani, Andhra, North Indian",12Noon to 11:30PM (Mon-Sun)
Ulavacharu,1400,"Function Venues, Regional Favorites","Andhra, North Indian, Chinese",12 Noon to 11:30 PM
Shanghai Chef 2,800,Pan-Asian Delicacies,"Chinese, Thai, Indonesian, Asian",12 Noon to 11 PM
Udipi's Upahar,500,,"South Indian, North Indian, Chinese",6 AM to 10:30 PM
Mathura Vilas,500,"Veggie Friendly, Terrific Thalis","South Indian, North Indian, Chinese","11:30 AM to 3:30 PM, 6:45 PM to 11:30 PM"
Gal Punjab Di,800,,"North Indian, Continental","11:55 AM to 4 PM, 7 PM to 11:15 PM"
Hitech Bawarchi Food Zone,500,,"Biryani, North Indian, Chinese",12 Noon to 11 PM
Biryanis And More,500,,"North Indian, Biryani, Chinese",11 AM to 11 PM
Diners Pavilion,1200,"Great Buffets, Live Sports Screenings","Chinese, Continental, Italian","12noon to 4:30pm, 6:30pm to 11:30pm (Mon, Tue, Wed, Fri, Sat), Closed (Thu),12noon to 12midnight (Sun)"
Asian Meal Box,200,,Asian,"12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)"
Cafe Eclat,700,Sneak Peek Hyderabad,"Cafe, Bakery",8 AM to 11:30 PM
Feast - Sheraton Hyderabad Hotel,2500,"Sunday Brunches, Great Breakfasts, Function Venues, Ramzan Mubarak","Modern Indian, Asian, Continental, Italian","6:30am to 10:30am, 12:30pm to 3pm, 7pm to 11pm (Mon),6:30am to 10:30am, 12:30pm to 3pm, 7:30pm to 11pm (Tue-Sat),6:30am to 10:30am, 12:30pm to 3:30pm, 7pm to 11pm (Sun)"
Being Hungry,450,,"North Indian, Chinese","12 Noon to 3 PM, 7 PM to 11:30 PM"
Tempteys,350,Best Milkshakes,"Desserts, Beverages",11:30 AM to 1 AM
KS Bakers,200,,"Bakery, Desserts, Fast Food",9 AM to 10 PM
PourHouse7,1200,"Happy Hours, Top Drinking Destinations, Corporate Favorites","North Indian, Continental, Chinese, Italian","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)"
Prism Club & Kitchen,1200,"Sneak Peek Hyderabad, Best Bars & Pubs, Gigs and Events","Kebab, Continental, Italian, North Indian",5pm to 12midnight (Mon-Sun)
Shree Santosh Dhaba Family Restaurant,500,,"North Indian, Chinese, Fast Food",11 AM to 11:30 PM
Dine O China,850,,"Chinese, Asian, Momos",11:30AM to 11PM (Mon-Sun)
Hyderabad Chefs,600,,"North Indian, Chinese",12 Noon to 10:30 PM
Komatose - Holiday Inn Express & Suites,1500,"Happy Hours, Top-Rated, Gold Curated","North Indian, Chinese, Japanese, Sushi",1 PM to 11 PM
Aromas@11SIX,750,,"North Indian, Chinese, Mughlai, Biryani",11:30 AM to 12 Midnight
Yum Yum Tree - The Arabian Food Court,1200,Food Hygiene Rated Restaurants in Hyderabad,"North Indian, Hyderabadi",12 Noon to 12 Midnight
The Tilt Bar Republic,1500,"Gigs and Events, Corporate Favorites","North Indian, Continental, Italian",12noon to 12midnight (Mon-Sun)
The Indi Grill,1500,"Food Hygiene Rated Restaurants in Hyderabad, Great Buffets, Hyderabad's Hottest","BBQ, Asian, Modern Indian",12noon to 11pm (Mon-Sun)
Urban Asia - Kitchen & Bar,1100,,"Asian, Thai, Chinese, Sushi, Momos","12 Noon to 3 PM, 7 PM to 11 PM"
Eat India Company,1300,,"North Indian, Mughlai, Beverages","12 Noon to 3 PM, 7 PM to 11 PM"
Labonel,1000,Best Bakeries,"Bakery, Desserts","11 AM to 8 PM (Mon-Sat), Sun Closed"
Driven Cafe,600,,"Cafe, Fast Food, Beverages",4 AM to 12 Midnight
Faasos,600,,"Fast Food, Biryani, Desserts",9 AM to 1 AM
Royal Spicy Restaurant,700,,"North Indian, South Indian",10:30 AM to 11 PM
The Old Madras Baking Company,350,,Bakery,7 AM to 11 PM
Squeeze @ The Lime,650,Veggie Friendly,"Italian, North Indian, Chinese, Salad","7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM"
Khaan Saab,1100,New on Gold,"North Indian, Mughlai","12 Noon to 3:30 PM, 7 PM to 11:30 PM"
Olive Garden,700,,"North Indian, Chinese, Continental, Biryani","12 Noon to 3:30 PM, 7 PM to 11 PM"
Tandoori Food Works,500,Brilliant Biryanis,"North Indian, Burger, Kebab","12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)"
Delhi-39,600,,"North Indian, Chinese",11am to 11pm (Mon-Sun)
Al Saba Restaurant,750,,"North Indian, Chinese, Seafood, Biryani, Hyderabadi",6 AM to 11:30 PM
GD's,500,,"Burger, American",11:30 AM to 5 AM
T Grill,700,,"North Indian, Andhra, Biryani, Chinese","12:30 PM to 3:30 PM, 7 PM to 11 PM"
Momos Delight,200,,Momos,6pm to 2am (Mon-Sun)
The Chocolate Room,600,,"Cafe, Desserts",10 AM to 12 Midnight
American Wild Wings,600,Food Hygiene Rated Restaurants in Hyderabad,"American, Fast Food, Salad, Burger",12 Noon to 4 AM
Domino's Pizza,400,,"Fast Food, Pizza",11 AM to 11 PM
Mohammedia Shawarma,150,,"Street Food, Arabian",1 PM to 1 AM
Arena Eleven,1600,New on Gold,Continental,12 Noon to 12 Midnight
Cascade - Radisson Hyderabad Hitec City,1800,,"North Indian, Italian, Continental, Asian",24 Hours
Collage - Hyatt Hyderabad Gachibowli,2800,Sunday Brunches,"Continental, Italian, North Indian, Chinese, Asian",24 Hours (Mon-Sun)
Zing's Northeast Kitchen,550,,"North Eastern, Momos","11:30 AM to 4 PM, 7 PM to 11 PM"
Dunkin' Donuts,550,,"Desserts, Cafe, Beverages, Burger, Fast Food",10 AM to 11 PM
Desi Bytes,400,,"North Indian, Chinese","1 PM to 2 AM (Mon, Wed-Sun), Tue Closed"
Hyderabadi Daawat,600,Food Hygiene Rated Restaurants in Hyderabad,"Hyderabadi, Chinese, Mughlai",12:30pm to 11:30pm (Mon-Sun)
Zega - Sheraton Hyderabad Hotel,1750,,"Asian, Sushi",12Noon to 2AM (Mon-Sun)
Triptify,400,,North Indian,11 AM to 11 PM
Chinese Pavilion,1000,,"Chinese, Seafood","12 Noon to 3:30 PM, 7 PM to 11 PM"
IndiBlaze,600,,"Fast Food, Salad",11 AM to 11 PM
Sweet Basket,200,,"Bakery, Mithai","10 AM to 10 PM (Mon-Thu), 8 AM to 10:30 PM (Fri-Sun)"
Angaara Counts 3,500,,"North Indian, Biryani, Chinese",12 Noon to 11 PM
Wich Please,250,,Fast Food,8am to 12:30AM (Mon-Sun)
Republic Of Noodles - Lemon Tree Hotel,1700,Pan-Asian Delicacies,"Thai, Asian, Chinese, Malaysian","11:30 AM to 3 PM, 7 PM to 12 Midnight"
